season,week,posteam,defteam,full_player_name,position,xFP_nonQB,ffpts_total_nonQB,xFP_left_short,xFP_middle_short,xFP_right_short,xFP_left_inter,xFP_middle_inter,xFP_right_inter,xFP_left_deep,xFP_middle_deep,xFP_right_deep
2019,3,GB,DEN,Davante Adams,WR,1.4495824575424194,2.4000000000000004,0,0,0,2.4000000000000004,0,0,0,0,0
2019,3,GB,DEN,Geronimo Allison,WR,1.6245077848434448,0,0,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Robert Tonyan,TE,1.4049180746078491,0,0,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Marquez Valdes-Scantling,WR,1.7457762956619263,3.8000000000000003,0,0,0,0,0,0,3.8000000000000003,0,0
2019,3,GB,DEN,Aaron Jones,RB,0.5054615139961243,-0.30000000000000004,0,0,-0.30000000000000004,0,0,0,0,0,0
2019,3,GB,DEN,Robert Tonyan,TE,2.4757704734802246,0,0,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Geronimo Allison,WR,1.673312783241272,0,0,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Andrew Beck,TE,1.1732474565505981,0,0,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Courtland Sutton,WR,1.414092779159546,2.6,0,0,0,2.6,0,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.4854527711868286,0.30000000000000004,0,0,0.30000000000000004,0,0,0,0,0,0
2019,3,DEN,GB,Emmanuel Sanders,WR,1.309909462928772,1.4,0,0,0,0,0,1.4,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.515130341053009,0.8,0.8,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.44473594427108765,0.9,0,0.9,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.466993510723114,0.2,0.2,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,1.4342052936553955,1.5,0,0,0,0,1.5,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.4149514436721802,0.2,0,0.2,0,0,0,0,0,0,0
2019,3,DEN,GB,Jeff Heuerman,TE,1.5421340465545654,2,0,0,0,0,2,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.9100581407546997,0.1,0.1,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Courtland Sutton,WR,1.9553792476654053,2,0,0,0,0,0,2,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,2.4556612968444824,0.30000000000000004,0,0,0.30000000000000004,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,3.2783291339874268,6.1,0,6.1,0,0,0,0,0,0,0
2019,3,GB,DEN,Aaron Jones,RB,0.37232816219329834,0.30000000000000004,0.30000000000000004,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Jamaal Williams,RB,0.4823177456855774,1.2000000000000002,1.2000000000000002,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Davante Adams,WR,1.892604112625122,3.2,0,0,0,0,0,0,0,0,3.2
2019,3,GB,DEN,Davante Adams,WR,1.4859857559204102,1.6,0,0,0,0,1.6,0,0,0,0
2019,3,GB,DEN,Jamaal Williams,RB,0.4704284369945526,-0.2,0,-0.2,0,0,0,0,0,0,0
2019,3,GB,DEN,Marquez Valdes-Scantling,WR,1.4630837440490723,0,0,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.4777989387512207,0.9,0,0,0.9,0,0,0,0,0,0
2019,3,DEN,GB,Noah Fant,TE,2.3785400390625,2.7,0,0,0,0,0,0,0,2.7,0
2019,3,DEN,GB,Royce Freeman,RB,0.496945858001709,0.4,0.4,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.48525387048721313,0.5,0,0,0.5,0,0,0,0,0,0
2019,3,DEN,GB,Emmanuel Sanders,WR,1.4261233806610107,1.6,0,0,0,0,0,1.6,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.49964094161987305,0.4,0.4,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,1.426174283027649,2.2,0,0,0,0,2.2,0,0,0,0
